,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Wanaka,35,NZ,1568878376,81,-44.7,169.14,33.29,3.02
376,Manggar,42,ID,1568878376,54,-2.88,108.27,85.49,8.39
377,Zhangye,88,CN,1568878376,29,38.94,100.46,62.81,7.25
378,Matamoros,1,US,1568878380,83,25.87,-97.51,84.0,10.29
379,Were Ilu,40,ET,1568878380,56,10.6,39.43,72.17,5.99
380,Bhawanipatna,60,IN,1568878381,63,19.91,83.17,89.63,6.04
381,Lakes Entrance,60,AU,1568878381,70,-37.88,147.99,68.0,3.06
382,Havelock,1,US,1568878384,68,34.88,-76.9,66.99,10.29
383,Ust-Kut,100,RU,1568878385,92,56.78,105.75,48.59,6.58
384,Bakel,98,SN,1568878385,74,14.9,-12.46,81.71,4.25
385,Port Hedland,0,AU,1568878385,40,-20.31,118.58,86.0,17.22
386,Narsaq,100,GL,1568878386,60,60.91,-46.05,41.0,2.24
387,Muisne,100,EC,1568878386,89,0.61,-80.02,72.35,18.25
388,Rognan,40,NO,1568878386,70,67.1,15.4,45.0,9.17
389,Wanganui,0,NZ,1568878386,74,-39.93,175.05,46.99,5.32
390,Collie,60,AU,1568878387,40,-33.36,116.15,57.0,8.05
391,Teguise,20,ES,1568878387,88,29.06,-13.56,68.0,6.93
392,Privolzhskiy,20,RU,1568878387,71,55.96,48.41,51.8,13.42
393,Takaungu,75,KE,1568878388,74,-3.68,39.86,80.6,11.41
394,Hangu,20,PK,1568878388,70,33.53,71.06,86.0,9.17
395,Iquique,90,CL,1568878388,67,-20.22,-70.14,57.2,9.17
396,Kilosa,2,TZ,1568878388,40,-6.84,36.99,77.21,9.37
397,Sechura,32,PE,1568878389,90,-5.56,-80.82,60.29,4.65
398,Ylivieska,36,FI,1568878389,91,64.07,24.53,42.01,8.28
399,Skibbereen,90,IE,1568878389,100,51.55,-9.27,51.8,5.82
400,Mayakonda,83,IN,1568878390,75,14.29,76.08,80.81,13.53
401,Esil,10,KZ,1568878390,35,51.96,66.41,71.99,22.39
402,Yerbogachen,97,RU,1568878390,76,61.28,108.01,38.51,4.21
403,Klyuchi,8,RU,1568878390,22,52.25,79.17,82.79,12.97
404,San Julian,100,PH,1568878394,76,11.75,125.45,79.37,6.17
405,Natal,40,BR,1568878394,100,-5.81,-35.21,71.6,5.82
406,Moranbah,0,AU,1568878394,55,-22.0,148.04,70.37,19.89
407,Ajdabiya,0,LY,1568878395,66,30.75,20.22,73.97,3.18
408,Sinnamary,38,GF,1568878395,84,5.38,-52.96,79.37,15.46
409,Constantine,0,DZ,1568878395,73,36.36,6.61,69.8,3.36
410,Alta Floresta,0,BR,1568878396,71,-9.87,-56.08,71.27,1.39
411,Dalvik,0,SE,1568878396,81,57.79,14.13,46.99,6.93
412,Zaraza,100,VE,1568878396,98,9.35,-65.33,72.17,2.71
413,Qeshm,0,IR,1568878396,56,26.96,56.27,96.8,9.17
414,North Bend,90,US,1568878397,100,43.41,-124.22,57.0,4.7
415,Baruun-Urt,0,MN,1568878397,36,46.68,113.28,63.71,7.14
416,Iki-Burul,0,RU,1568878397,33,45.82,44.65,62.6,22.37
417,Anadyr,90,RU,1568878398,93,64.73,177.51,37.4,6.71
418,Saint-Francois,0,FR,1568878398,66,46.42,3.91,54.0,7.85
419,Filadelfia,0,PY,1568878398,86,-22.35,-60.04,58.49,4.18
420,Tual,62,ID,1568878398,86,-5.67,132.75,76.85,13.6
421,Saintes,0,FR,1568878399,50,45.74,-0.63,57.99,13.87
422,Acucena,0,BR,1568878401,86,-19.07,-42.55,58.67,1.79
423,Samarai,100,PG,1568878401,91,-10.62,150.67,72.89,5.64
424,Turayf,0,SA,1568878401,29,31.68,38.65,89.6,13.87
425,Narwar,57,IN,1568878402,81,25.64,77.91,80.63,11.39
426,Port-Gentil,75,GA,1568878402,94,-0.72,8.78,77.0,5.82
427,Geraldton,90,CA,1568878402,93,49.72,-86.95,64.4,10.29
428,Leh,0,IN,1568878402,7,34.16,77.58,48.95,3.58
429,Cabinda,40,AO,1568878403,88,-5.56,12.19,73.4,3.36
430,Kroya,19,ID,1568878403,36,-6.5,108.06,92.33,14.29
431,Polonnaruwa,12,LK,1568878403,35,7.94,81.0,97.19,15.9
432,Carmen,20,PH,1568878382,66,7.36,125.71,89.01,6.93
433,Kinkala,40,CG,1568878404,94,-4.35,14.75,71.6,3.36
434,Anloga,40,GH,1568878404,94,5.79,0.9,77.0,5.82
435,Soyo,40,AO,1568878112,88,-6.13,12.37,73.4,3.36
436,Sioux Lookout,75,CA,1568878404,93,50.1,-91.92,62.6,6.93
437,Seminole,1,US,1568878405,50,32.72,-102.64,77.0,4.7
438,Derzhavinsk,0,KZ,1568878405,31,51.1,66.31,73.25,22.37
439,Agadez,0,NE,1568878405,23,16.97,7.99,86.0,13.87
440,Yeniseysk,100,RU,1568878406,82,58.45,92.17,57.77,5.73
441,Nuuk,25,GL,1568878406,86,64.17,-51.74,33.8,5.82
442,Sulangan,100,PH,1568878406,73,11.14,123.72,84.41,16.51
443,Varena,75,LT,1568878407,87,54.21,24.57,44.6,10.29
444,Baykit,100,RU,1568878407,85,61.68,96.39,46.07,8.66
445,Simao,68,CN,1568878407,87,22.76,100.79,75.77,2.08
446,Chernyshevsk,100,RU,1568878407,70,52.51,117.01,55.25,5.95
447,Atar,0,MR,1568878408,43,20.52,-13.05,90.35,6.53
448,Shahr-e Babak,0,IR,1568878408,4,30.12,55.12,91.79,4.85
449,Altay,66,CN,1568878408,26,47.83,88.13,61.19,8.79
450,Half Moon Bay,1,US,1568878409,93,37.46,-122.43,62.01,9.17
451,Acurenam,100,GA,1568878409,93,1.03,10.67,71.27,1.83
452,Itoman,75,JP,1568878410,83,26.12,127.67,84.2,23.04
453,Berezovka,100,RU,1568878410,88,55.71,42.61,44.99,8.23
454,Komsomolskiy,94,RU,1568878410,86,67.55,63.78,41.93,10.89
455,Tsaratanana,3,MG,1568878411,35,-16.8,47.65,84.23,10.65
456,Ittiri,40,IT,1568878411,83,40.59,8.57,72.0,2.24
457,Kalmunai,99,LK,1568878411,51,7.42,81.82,91.25,10.78
458,Rosario Oeste,0,BR,1568878411,35,-14.84,-56.43,74.69,5.08
459,Henties Bay,94,NA,1568878412,91,-22.12,14.28,60.01,1.99
460,Kaeo,6,NZ,1568878412,89,-35.1,173.78,50.57,6.29
461,Southbridge,1,US,1568878114,81,42.08,-72.03,45.0,5.82
462,Port Pirie,100,AU,1568878412,9,-33.18,138.01,87.8,26.4
463,Berdigestyakh,100,RU,1568878413,89,62.1,126.7,37.61,11.03
464,Talnakh,0,RU,1568878413,66,69.49,88.39,50.0,20.13
465,Watsa,0,CD,1568878413,48,3.04,29.53,85.85,4.36
466,Santa Maria,0,BR,1568878414,55,-16.02,-48.01,64.4,3.06
467,Berlevag,40,NO,1568878414,86,70.86,29.09,39.2,23.04
468,Valence,0,FR,1568878414,51,44.93,4.89,59.0,12.75
469,Singleton,0,AU,1568878415,82,-32.57,151.17,66.2,13.87
470,Kattivakkam,75,IN,1568878415,94,13.22,80.32,80.6,4.7
471,Yaan,93,NG,1568878416,81,7.38,8.57,80.27,5.06
472,Alcains,0,PT,1568878416,76,39.92,-7.46,57.99,2.46
473,Hambantota,75,LK,1568878416,100,6.12,81.12,77.0,8.05
474,Karratha,0,AU,1568878417,12,-20.74,116.85,88.37,17.98
475,Zhuhai,20,CN,1568878417,52,40.71,112.04,66.2,11.18
476,Sao Felix do Xingu,0,BR,1568878418,87,-6.64,-51.99,70.01,1.59
477,Whitecourt,0,CA,1568878418,96,54.14,-115.68,38.69,1.7
478,Beesel,0,NL,1568878418,100,51.27,6.04,55.0,2.24
479,Ko Samui,20,TH,1568878419,66,9.54,99.94,87.8,11.41
480,Sassari,40,IT,1568878273,83,40.72,8.56,72.0,2.24
481,Cayenne,88,GF,1568878204,94,4.94,-52.33,75.2,3.49
482,Burnie,71,AU,1568878420,87,-41.05,145.91,50.21,7.9
483,Fakse Ladeplads,41,DK,1568878420,100,55.22,12.17,55.99,4.7
484,Nizhniy Tsasuchey,92,RU,1568878420,59,50.52,115.13,59.93,10.8
485,Cabot,75,US,1568878420,83,34.97,-92.02,78.8,2.57
486,Lincoln,0,GB,1568878407,93,53.23,-0.54,59.0,3.36
487,Arroyo,0,BO,1568878421,64,-11.08,-66.08,77.75,2.46
488,Mandan,1,US,1568878421,93,46.83,-100.89,57.99,5.82
489,Korhogo,69,CI,1568878421,83,9.46,-5.63,77.03,2.86
490,Smolenka,23,PL,1568878422,94,54.15,22.76,50.0,9.51
491,Atocha,0,AR,1568878422,70,-24.82,-65.48,51.8,1.59
492,Jabinyanah,20,TN,1568878422,74,35.03,10.91,82.4,11.81
493,Salalah,40,OM,1568878399,74,17.01,54.1,84.2,13.87
494,Okhotsk,40,RU,1568878423,77,59.36,143.24,43.37,3.4
495,Glamoc,96,BA,1568878423,88,44.05,16.85,44.99,9.55
496,Banda Aceh,71,ID,1568878424,76,5.56,95.32,83.33,8.63
497,Worland,1,US,1568878424,75,44.02,-107.96,55.4,7.65
498,Kostomuksha,90,RU,1568878424,53,64.59,30.6,43.73,5.08
499,Deep River,1,CA,1568878424,76,46.1,-77.49,57.2,8.05
500,Sisophon,56,KH,1568878425,83,13.59,102.97,83.15,5.26
501,Kendal,20,ID,1568878425,49,-6.92,110.2,89.6,12.75
502,Kavaratti,100,IN,1568878425,80,10.57,72.64,82.07,12.93
503,Inirida,100,CO,1568878426,95,3.87,-67.92,70.55,2.33
504,Leningradskiy,100,RU,1568878426,93,69.38,178.42,36.17,18.81
505,Belmonte,52,PT,1568878426,76,40.36,-7.35,57.99,1.52
506,Pearl Lagoon,26,NI,1568878427,99,12.34,-83.67,73.07,2.48
507,Sanbu,12,CN,1568878427,64,33.46,119.15,73.43,8.84
508,Lucea,40,JM,1568878428,79,18.44,-78.17,84.2,6.93
509,Alamosa,1,US,1568878383,70,37.47,-105.87,50.0,6.93
510,Cabedelo,20,BR,1568878428,100,-6.97,-34.84,69.8,4.7
511,Sao Joao da Barra,0,BR,1568878428,69,-21.64,-41.05,71.45,2.42
512,Amapa,75,HN,1568878429,94,15.09,-87.97,77.0,3.42
513,Ostersund,0,SE,1568878429,80,63.18,14.64,41.0,12.75
514,Matara,20,BI,1568878429,69,-3.48,29.48,75.2,2.24
515,Dudinka,0,RU,1568878429,66,69.41,86.18,50.0,20.13
516,Nizhniy Kuranakh,100,RU,1568878430,91,58.84,125.49,37.61,8.12
517,Ukiah,20,US,1568878430,82,39.15,-123.21,60.01,3.02
518,High Level,1,CA,1568878430,100,58.52,-117.13,39.2,4.32
519,Bage,100,IN,1568878431,92,12.95,75.85,75.95,5.03
520,Aleksandrovskoye,20,RU,1568878432,52,56.74,85.39,68.0,15.66
521,Boralday,75,KZ,1568878432,15,43.36,76.86,86.0,8.95
522,Point Fortin,100,TT,1568878433,94,10.16,-61.68,75.99,6.87
523,Namatanai,71,PG,1568878433,78,-3.66,152.44,79.37,16.69
524,Araxa,33,BR,1568878434,32,-19.59,-46.94,67.85,2.39
525,Hofn,100,IS,1568878434,99,64.25,-15.21,40.13,3.13
526,Juneau,90,US,1568878434,93,58.3,-134.42,53.6,20.8
527,Gazanjyk,0,TM,1568878435,18,39.24,55.52,95.21,15.1
528,Marand,0,IR,1568878435,25,38.43,45.77,77.0,4.7
529,Iberia,50,PE,1568878435,68,-11.41,-69.49,75.59,2.19
530,Goundam,0,ML,1568878435,36,16.42,-3.66,92.51,11.01
531,Chateau-Thierry,0,FR,1568878436,76,49.05,3.4,54.0,1.12
532,Iracoubo,0,GF,1568878436,92,5.48,-53.21,73.61,5.79
533,Panguna,100,PG,1568878436,81,-6.32,155.48,77.75,4.83
534,Seohara,28,IN,1568878437,62,29.21,78.58,86.21,5.26
535,Marly,40,FR,1568878437,81,50.34,3.55,54.0,4.7
536,Champerico,100,MX,1568878437,95,16.38,-93.6,67.85,3.06
537,Bolshoye Nagatkino,40,RU,1568878437,76,54.52,47.97,53.6,11.18
